Wilayah,Indeks Ketimpangan Gender,Indeks Pembangunan Gender,Indeks Pemberdayaan Gender
Simeulue,0.433,79.78,62.79
Aceh Singkil,0.527,85.51,59.81
Aceh Selatan,0.38,92.24,67.07
Aceh Tenggara,0.53,93.28,56.4
Aceh Timur,0.589,87.26,49.26
Aceh Tengah,0.424,97.89,69.07
Aceh Barat,0.231,86.67,59.59
Aceh Besar,0.351,95.37,50.49
Pidie,0.205,93.98,62.44
Bireuen,0.393,95.09,62.34
Aceh Utara,0.789,93.36,48.77
Aceh Barat Daya,0.454,90.44,53.61
Gayo Lues,0.613,90.08,57.21
Aceh Tamiang,0.477,82.66,64.53
Nagan Raya,0.789,91.32,45.23
Aceh Jaya,0.277,90.12,65.04
Bener Meriah,0.522,96.73,51.19
Pidie Jaya,0.4,95.28,55.98
Kota Banda Aceh,0.182,96.18,63.24
Kota Sabang,0.186,95.74,60.86
Kota Langsa,0.484,95.88,58.91
Kota Lhokseumawe,0.331,95.73,68.86
Kota Subulussalam,0.525,85.88,76
Nias,0.555,91.22,64.57
Mandailing Natal,0.518,93.88,66.37
Tapanuli Selatan,0.523,90.75,66.1
Tapanuli Tengah,0.438,95.38,79.25
Tapanuli Utara,0.335,97.69,63.8
Toba Samosir / Toba,0,98.24,71.96
Labuhan Batu,0.403,90.85,59.07
Asahan,0.444,92.06,60.54
Simalungun,0.435,93.41,62.42
Dairi,0.319,98.37,63.27
Karo,0.304,96.49,75.96
Deli Serdang,0.294,92.15,54.79
Langkat,0.334,89.05,62.24
Nias Selatan,0.594,89.84,64.56
Humbang Hasundutan,0.348,97.42,74.55
Pakpak Bharat,0.332,99.2,61.66
Samosir,0.123,96.93,69.98
Serdang Bedagai,0.38,89.07,62.85
Batu Bara,0.39,84.06,66.24
Padang Lawas Utara,0.537,88.47,67.49
Padang Lawas,0.813,86.97,54.35
Labuhan Batu Selatan,0.524,88.88,61.04
Labuhan Batu Utara,0.565,90.6,47.74
Nias Utara,0.593,80.92,65.11
Nias Barat,0.499,87.57,72.4
Kota Sibolga,0.146,98,65.89
Kota Tanjung Balai,0.343,90.89,72.61
Kota Pematang Siantar,0.282,96.65,68.93
Kota Tebing Tinggi,0.188,93.89,63.45
Kota Medan,0.16,94.49,68.88
Kota Binjai,0.299,91.38,68.54
Kota Padangsidimpuan,0.192,97.46,76.54
Kota Gunungsitoli,0.368,90.24,72.62
Kepulauan Mentawai,0.849,90.13,49.59
Pesisir Selatan,0.468,95.83,55.72
Solok,0.377,96.22,60.23
Sijunjung,0.491,94.39,57.58
Tanah Datar,0.344,97.48,60.69
Padang Pariaman,0.722,93.92,48.05
Agam,0.355,97.09,63.63
Lima Puluh Kota,0.453,94.86,51.45
Pasaman,0.464,92.91,68.72
Solok Selatan,0.805,95.53,50.47
Dharmasraya,0.457,89.71,50.22
Pasaman Barat,0.419,90.32,63.37
Kota Padang,0.172,94.04,63.38
Kota Solok,0.147,96.9,65.38
Kota Sawah Lunto,0.27,95.73,62.49
Kota Padang Panjang,0.081,98.23,75.62
Kota Bukittinggi,0.08,98.66,83.53
Kota Payakumbuh,0.175,98.93,68.75
Kota Pariaman,0.12,98.11,60.14
Kuantan Singingi,0.455,90.69,68.77
Indragiri Hulu,0.576,87.41,54.92
Indragiri Hilir,0.533,83.7,69.73
Pelalawan,0.589,89.44,53.42
Siak,0.519,89.03,45.63
Kampar,0.487,90.18,58.32
Rokan Hulu,0.498,83.05,55
Bengkalis,0.401,89.91,59.8
Rokan Hilir,0.511,85.81,54.11
Kepulauan Meranti,0.46,87.44,73.03
Kota Pekanbaru,0.22,94.04,67.4
Kota Dumai,0.277,91.35,52.2
Kerinci,0.42,87.49,65.14
Merangin,0.643,88.84,58.12
Sarolangun,0.54,92,65.83
Batang Hari,0.49,85.95,74.48
Muaro Jambi,0.535,82.47,65.81
Tanjung Jabung Timur,0.554,88.09,65.1
Tanjung Jabung Barat,0.581,86.53,63.43
Tebo,0.569,91.87,58.35
Bungo,0.442,88.95,59.34
Kota Jambi,0.358,95.18,66.98
Kota Sungai Penuh,0.754,94.7,53.62
Ogan Komering Ulu,0.601,94.43,46.63
Ogan Komering Ilir,0.548,92.6,59.53
Muara Enim,0.55,90.14,69.55
Lahat,0.493,94.99,71.79
Musi Rawas,0.512,86.78,63.98
Musi Banyuasin,0.54,83.78,65.65
Banyu Asin,0.574,89.9,63.76
Ogan Komering Ulu Selatan,0.57,92.43,58.28
Ogan Komering Ulu Timur,0.445,94.83,65.6
Ogan Ilir,0.501,98.89,60.91
Empat Lawang,0.507,93.79,72.49
Penukal Abab Lematang Ilir,0.85,93.63,52.27
Musi Rawas Utara,0.838,92.71,43.2
Kota Palembang,0.268,96.64,58.53
Kota Prabumulih,0.163,94.09,67.94
Kota Pagar Alam,0.436,95.12,58.64
Kota Lubuklinggau,0.294,95.27,73.09
Bengkulu Selatan,0.316,94.76,60.92
Rejang Lebong,0.392,94.31,64.53
Bengkulu Utara,0.477,91.59,59.07
Kaur,0.478,87.71,71.16
Seluma,0.493,86.4,66.86
Mukomuko,0.768,85.11,51.17
Lebong,0.432,92.09,80.46
Kepahiang,0.489,96.08,55.37
Bengkulu Tengah,0.483,87.43,75.3
Kota Bengkulu,0.159,96.13,76
Lampung Barat,0.407,93.52,66.65
Tanggamus,0.466,91.42,60.46
Lampung Selatan,0.394,90.09,70.98
Lampung Timur,0.252,89.52,64.44
Lampung Tengah,0.322,90.21,71.66
Lampung Utara,0.492,89.97,59.15
Way Kanan,0.504,88.75,72.37
Tulangbawang,0.431,90.33,71.47
Pesawaran,0.488,88.32,65.03
Pringsewu,0.13,93.03,68.37
Mesuji,0.391,85.11,67.3
Tulang Bawang Barat,0.475,89.1,59.62
Pesisir Barat,0.509,94.48,66.33
Kota Bandar Lampung,0.151,94.16,74.27
Kota Metro,0.152,95.99,71.96
Bangka,0.401,89.07,62.01
Belitung,0.361,89.7,58.82
Bangka Barat,0.373,90.35,65.33
Bangka Tengah,0.427,91.96,61.49
Bangka Selatan,0.5,85.25,56.29
Belitung Timur,0.7,87.69,46.3
Kota Pangkal Pinang,0.211,93.82,65.48
Karimun,0.488,91.61,58.34
Bintan,0.362,94.05,74.62
Natuna,0.805,91.82,43.86
Lingga,0.486,91.12,60.98
Kepulauan Anambas,0.49,91.58,58.3
Kota Batam,0.193,95.72,61.31
Kota Tanjung Pinang,0.125,97.02,70.28
Kep. Seribu,0.186,93.62,67.58
Kota Jakarta Selatan,0.147,97.3,79.36
Kota Jakarta Timur,0.129,95.9,77.6
Kota Jakarta Pusat,0.136,96.24,80.89
Kota Jakarta Barat,0.164,95.66,77.71
Kota Jakarta Utara,0.155,94.43,78.28
Bogor,0.577,90.17,56.99
Sukabumi,0.533,88.59,65
Cianjur,0.544,85.45,63.11
Bandung,0.387,94.23,71.17
Garut,0.533,83.5,76.05
Tasikmalaya,0.559,87.1,60.82
Ciamis,0.439,87.48,66.07
Kuningan,0.415,87.55,78.86
Cirebon,0.385,84.74,75.09
Majalengka,0.437,87.16,62.81
Sumedang,0.217,95.55,76.99
Indramayu,0.349,89.03,68.95
Subang,0.432,91.55,71.76
Purwakarta,0.548,87.18,76.22
Karawang,0.478,91.23,65.8
Bekasi,0.348,89.72,66.49
Bandung Barat,0.52,81.02,74.23
Pangandaran,0.415,90.38,73.89
Kota Bogor,0.376,91.26,75.6
Kota Sukabumi,0.359,92.59,69.05
Kota Bandung,0.244,94.87,70.95
Kota Cirebon,0.383,95.83,81.14
Kota Bekasi,0.273,93.62,70.49
Kota Depok,0.165,93.7,75.62
Kota Cimahi,0.162,92.28,76.26
Kota Tasikmalaya,0.354,92.22,69.84
Kota Banjar,0.239,88.12,62.66
Cilacap,0.376,87.41,69.97
Banyumas,0.211,89.27,69.77
Purbalingga,0.213,93.74,76.97
Banjarnegara,0.282,95.19,65.02
Kebumen,0.328,93.41,69.71
Purworejo,0.264,95.11,73.18
Wonosobo,0.284,93.02,56.61
Magelang,0.267,92.56,66.97
Boyolali,0.233,94.79,80.31
Klaten,0.162,95.9,76.66
Sukoharjo,0.166,98.08,73.79
Wonogiri,0.351,92.38,79.72
Karanganyar,0.262,97.16,74.4
Sragen,0.377,92.62,70.28
Grobogan,0.381,86.45,66.59
Blora,0.313,85.89,73.96
Rembang,0.251,88.03,67.64
Pati,0.237,92.55,66.3
Kudus,0.232,94.01,66.88
Jepara,0.34,91.71,64.62
Demak,0.326,91.25,66.22
Semarang,0.212,96.74,74.52
Temanggung,0.22,96.27,74.28
Kendal,0.194,94.34,73.16
Batang,0.29,92.68,69.4
Pekalongan,0.215,92.96,65.06
Pemalang,0.38,87.37,81.47
Tegal,0.315,88.85,76.03
Brebes,0.422,87.61,59.35
Kota Magelang,0.137,96.73,82.7
Kota Surakarta,0.173,97.54,76.98
Kota Salatiga,0.222,95.59,65.05
Kota Semarang,0.14,96.37,78.71
Kota Pekalongan,0.185,95.56,65.1
Kota Tegal,0.318,93.95,64.76
Kulon Progo,0.145,95.29,70.6
Bantul,0.127,95.67,75.97
Gunung Kidul,0.183,86.67,79.41
Sleman,0.112,96.52,81.49
Kota Yogyakarta,0.167,98.65,71.86
Pacitan,0.476,86.46,64.12
Ponorogo,0.161,94.6,72.66
Trenggalek,0.463,92.68,67.18
Tulungagung,0.345,95.56,69.99
Blitar,0.263,93.65,79.86
Kediri,0.182,93.41,72.82
Malang,0.315,88.91,73.39
Lumajang,0.231,89.43,65.16
Jember,0.33,85.79,72.04
Banyuwangi,0.277,87.57,79.51
Bondowoso,0.463,91.22,72.33
